,LAT,LNG,ID,Usage Cost,Connecting Points Charger,Date Created,Charging Point Enabled,Operator Title,Address Title,Address Line,Town,geometry,Province
0,52.2209165058091,4.531349788212651,189190,0.37,2,2021-09-12,True,Allego BV,Kagerdreef 90,Kagerdreef 90,Teylingen,POINT (4.531349788212651 52.2209165058091),Zuid-Holland
5,51.834832,4.618082,175091,0.3426,2,2021-04-26,True,Ionity,IONITY Sandelingen West,"Sandelingen West, A16, 16",Hendrik-Ido-Ambacht,POINT (4.618082 51.834832),Zuid-Holland
7,52.066539,4.738413,175087,0.3426,4,2021-04-26,True,Ionity,IONITY Bodegraven,La Place Goudseweg 32,Bodegraven,POINT (4.738413 52.066539),Zuid-Holland
18,52.06503590109799,4.329579515997125,171439,0.33,1,2021-01-02,True,Ecotap,Van Musschenbroekstraat,Van Musschenbroekstraat,The Hague,POINT (4.329579515997125 52.06503590109799),Zuid-Holland
19,51.899517,4.982968,171094,0.25,16,2020-12-20,True,Tesla Motors (Worldwide),Meerkerk Supercharger,Energieweg 116 Meerkerk,Utrecht,POINT (4.982968 51.899517),Zuid-Holland
30,52.07764559748188,4.820435944502833,169654,0.3426,2,2020-10-28,True,(Unknown Operator),Graaf Adolfstraat,Graaf Adolfstraat,Zoetermeer,POINT (4.820435944502833 52.07764559748188),Zuid-Holland
37,51.91037173058714,4.474995764763207,162363,0.3426,1,2020-08-07,True,EV-Box,Koningin Emmaplein 15,Koningin Emmaplein 15,Rotterdam,POINT (4.474995764763207 51.91037173058714),Zuid-Holland
38,51.9104609155961,4.477087146797885,162362,0.3426,1,2020-08-07,True,EV-Box,Van Vollenhovenstraat 3,Van Vollenhovenstraat 3,Rotterdam,POINT (4.477087146797885 51.9104609155961),Zuid-Holland
41,51.89464168918698,4.530835616649711,161853,0.3426,2,2020-07-27,True,Shell UK Oil Products Limited,Shell Rotterdam,48 Stadionweg,Rotterdam,POINT (4.530835616649711 51.89464168918698),Zuid-Holland
46,52.048276,4.349078,161270,0.25,18,2020-07-08,True,Tesla Motors (Worldwide),Rijswijk Supercharger,Laan Van Hoornwijck 29,Rijswijk,POINT (4.349078 52.048276),Zuid-Holland
50,52.059905953834345,4.515953744973444,156061,0.3426,2,2020-05-04,True,Last Mile Solutions,Dadelgaarde 28,Dadelgaarde 28,Zoetermeer,POINT (4.515953744973444 52.05990595383435),Zuid-Holland
51,52.05951900533063,4.512890914411173,156060,0.22,2,2020-05-04,True,Eneco,Gaardedreef 45,Gaardedreef 45,Zoetermeer,POINT (4.512890914411173 52.05951900533063),Zuid-Holland
